"State","Gender","Year","Name","Count"
"CA","M",1966,"Gregory",1512
"CA","M",1966,"Jim",384
"CA","M",1966,"Kelly",252
"CA","M",1967,"Gregory",1383
"CA","M",1967,"Kelly",302
"CA","M",1967,"Jim",298
"CA","M",1968,"Gregory",1422
"CA","M",1968,"Kelly",269
"CA","M",1968,"Jim",268
"CA","M",1969,"Gregory",1517
"CA","M",1969,"Kelly",282
"CA","M",1969,"Jim",219
"CA","M",1970,"Gregory",1512
"CA","M",1970,"Kelly",214
"CA","M",1970,"Jim",193
"CA","M",1971,"Gregory",1216
"CA","M",1971,"Kelly",190
"CA","M",1971,"Jim",120
"CA","M",1972,"Gregory",1104
"CA","M",1972,"Kelly",135
"CA","M",1972,"Jim",93
"CA","M",1973,"Gregory",1034
"CA","M",1973,"Kelly",118
"CA","M",1973,"Jim",81
"CA","M",1973,"Diane",5
"CA","M",1974,"Gregory",890
"CA","M",1974,"Kelly",138
"CA","M",1974,"Jim",60
"CA","M",1975,"Gregory",863
"CA","M",1975,"Kelly",116
"CA","M",1975,"Jim",48
"CA","M",1976,"Gregory",913
"CA","M",1976,"Kelly",117
"CA","M",1976,"Jim",53
"CA","M",1977,"Gregory",904
"CA","M",1977,"Kelly",110
"CA","M",1977,"Jim",45
"CA","M",1978,"Gregory",946
"CA","M",1978,"Kelly",114
"CA","M",1978,"Jim",44
"CA","M",1979,"Gregory",827
"CA","M",1979,"Kelly",96
"CA","M",1979,"Jim",58
"CA","M",1980,"Gregory",855
"CA","M",1980,"Kelly",115
"CA","M",1980,"Jim",42
"CA","M",1981,"Gregory",854
"CA","M",1981,"Kelly",109
"CA","M",1981,"Jim",53
"CA","M",1982,"Gregory",950
"CA","M",1982,"Kelly",104
"CA","M",1982,"Jim",55
"CA","M",1983,"Gregory",952
"CA","M",1983,"Kelly",100
"CA","M",1983,"Jim",61
"CA","M",1984,"Gregory",1020
"CA","M",1984,"Kelly",106
"CA","M",1984,"Jim",52
"CA","F",1985,"Kelly",963
"CA","F",1985,"Diane",202
"CA","F",1985,"Gregory",5
"CA","F",1986,"Kelly",966
"CA","F",1986,"Diane",192
"CA","F",1986,"Gregory",11
"CA","F",1987,"Kelly",981
"CA","F",1987,"Diane",176
"CA","F",1987,"Gregory",12
"CA","F",1988,"Kelly",893
"CA","F",1988,"Diane",148
"CA","F",1988,"Gregory",5
"CA","F",1989,"Kelly",920
"CA","F",1989,"Diane",207
"CA","F",1989,"Gregory",10
"CA","F",1990,"Kelly",929
"CA","F",1990,"Diane",182
"CA","F",1990,"Gregory",8
"CA","F",1991,"Kelly",785
"CA","F",1991,"Diane",182
"CA","F",1991,"Gregory",6
"CA","F",1992,"Kelly",800
"CA","F",1992,"Diane",161
"CA","F",1992,"Gregory",5
"CA","F",1993,"Kelly",703
"CA","F",1993,"Diane",138
"CA","F",1994,"Kelly",682
"CA","F",1994,"Diane",113
"CA","F",1995,"Kelly",686
"CA","F",1995,"Diane",127
"CA","F",1996,"Kelly",583
"CA","F",1996,"Diane",100
"CA","F",1997,"Kelly",568
"CA","F",1997,"Diane",105
"CA","F",1998,"Kelly",498
"CA","F",1998,"Diane",93
"CA","F",1999,"Kelly",494
"CA","F",1999,"Diane",80
"CA","F",2000,"Kelly",521
"CA","F",2000,"Diane",89
"CA","F",2001,"Kelly",429
"CA","F",2001,"Diane",69
"CA","F",2002,"Kelly",508
"CA","F",2002,"Diane",77
"CA","F",2003,"Kelly",507
"CA","F",2003,"Diane",66
"CA","F",2004,"Kelly",427
"CA","F",2004,"Diane",82
"CA","F",2005,"Kelly",377
"CA","F",2005,"Diane",64
"CA","F",2006,"Kelly",264
"CA","F",2006,"Diane",49
"CA","F",2007,"Kelly",288
"CA","F",2007,"Diane",47
"CA","F",2008,"Kelly",239
"CA","F",2008,"Diane",52
"CA","F",2009,"Kelly",226
"CA","F",2009,"Diane",27
"CA","F",2010,"Kelly",188
"CA","F",2010,"Diane",31
"CA","F",2011,"Kelly",155
"CA","F",2011,"Diane",27
"CA","F",2012,"Kelly",168
"CA","F",2012,"Diane",29
"CA","F",2013,"Kelly",168
"CA","F",2013,"Diane",18
"CA","F",2014,"Kelly",142
"CA","F",2014,"Diane",22
"CA","F",2015,"Kelly",117
"CA","F",2015,"Diane",19
"CA","F",2016,"Kelly",103
"CA","F",2016,"Diane",21
"CA","M",1985,"Gregory",1008
"CA","M",1985,"Kelly",84
"CA","M",1985,"Jim",52
"CA","M",1986,"Gregory",1005
"CA","M",1986,"Kelly",110
"CA","M",1986,"Jim",55
"CA","M",1987,"Gregory",979
"CA","M",1987,"Kelly",95
"CA","M",1987,"Jim",45
"CA","M",1988,"Gregory",909
"CA","M",1988,"Kelly",96
"CA","M",1988,"Jim",66
"CA","M",1989,"Gregory",908
"CA","M",1989,"Kelly",81
"CA","M",1989,"Jim",60
"CA","M",1990,"Gregory",901
"CA","M",1990,"Kelly",92
"CA","M",1990,"Jim",58
"CA","M",1991,"Gregory",839
"CA","M",1991,"Kelly",71
"CA","M",1991,"Jim",44
"CA","M",1992,"Gregory",677
"CA","M",1992,"Jim",63
"CA","M",1992,"Kelly",56
"CA","M",1993,"Gregory",584
"CA","M",1993,"Kelly",65
"CA","M",1993,"Jim",46
"CA","M",1994,"Gregory",531
"CA","M",1994,"Jim",60
"CA","M",1994,"Kelly",45
"CA","M",1995,"Gregory",458
"CA","M",1995,"Kelly",49
"CA","M",1995,"Jim",41
"CA","M",1996,"Gregory",409
"CA","M",1996,"Jim",44
"CA","M",1996,"Kelly",41
"CA","M",1997,"Gregory",402
"CA","M",1997,"Kelly",31
"CA","M",1997,"Jim",27
"CA","M",1998,"Gregory",331
"CA","M",1998,"Kelly",40
"CA","M",1998,"Jim",34
"CA","M",1999,"Gregory",302
"CA","M",1999,"Kelly",20
"CA","M",1999,"Jim",18
"CA","M",2000,"Gregory",246
"CA","M",2000,"Jim",30
"CA","M",2000,"Kelly",23
"CA","M",2001,"Gregory",238
"CA","M",2001,"Jim",29
"CA","M",2001,"Kelly",16
"CA","M",2002,"Gregory",245
"CA","M",2002,"Jim",19
"CA","M",2002,"Kelly",12
"CA","M",2003,"Gregory",203
"CA","M",2003,"Kelly",20
"CA","M",2003,"Jim",19
"CA","M",2004,"Gregory",225
"CA","M",2004,"Jim",22
"CA","M",2004,"Kelly",17
"CA","M",2005,"Gregory",184
"CA","M",2005,"Kelly",16
"CA","M",2005,"Jim",11
"CA","M",2006,"Gregory",192
"CA","M",2006,"Kelly",20
"CA","M",2006,"Jim",13
"CA","M",2007,"Gregory",158
"CA","M",2007,"Kelly",20
"CA","M",2007,"Jim",19
"CA","M",2008,"Gregory",134
"CA","M",2008,"Jim",13
"CA","M",2008,"Kelly",13
"CA","M",2009,"Gregory",139
"CA","M",2009,"Kelly",17
"CA","M",2009,"Jim",7
"CA","M",2010,"Gregory",110
"CA","M",2010,"Kelly",16
"CA","M",2010,"Jim",14
"CA","M",2011,"Gregory",116
"CA","M",2011,"Jim",12
"CA","M",2011,"Kelly",10
"CA","M",2012,"Gregory",142
"CA","M",2012,"Jim",11
"CA","M",2012,"Kelly",9
"CA","M",2013,"Gregory",121
"CA","M",2013,"Kelly",12
"CA","M",2013,"Jim",11
"CA","M",2014,"Gregory",125
"CA","M",2014,"Kelly",18
"CA","M",2014,"Jim",13
"CA","M",2015,"Gregory",110
"CA","M",2015,"Jim",13
"CA","M",2015,"Kelly",9
"CA","M",2016,"Gregory",95
"CA","M",2016,"Kelly",16
"CA","M",2016,"Jim",6
